leagueId,tier,number
036e606c-1eee-42f1-ad71-d4983f7fe19e,SILVER,101
037832e8-c8df-49af-9125-749123e85e7a,SILVER,186
0378a0d4-28a6-4ac1-9c90-3c95a8266ab0,SILVER,192
0378b6ce-b13d-4cf2-a3b7-88f5baea719e,SILVER,190
03791cef-7667-4480-978e-815e06553add,IRON,15
0379898c-151a-4bc5-ba73-f5a0964c1fcb,IRON,24
038039ff-27be-4b4b-a1dd-a94467c45c2a,BRONZE,134
03825bd7-9cf5-4d9d-996a-1d0ae36de65e,BRONZE,146
03828b06-eecb-4e7f-80c9-d240a8938fa4,GOLD,196
03845b36-a7b8-487c-b2ec-8f8b9e859dc5,SILVER,124
038b413f-013c-4047-a2ae-dc435ceef4cf,BRONZE,117
038d8ce1-0d12-479a-b5f5-08fc3516ff6a,SILVER,103
038e34ac-b4ac-4b36-8c93-129afeec8c40,SILVER,187
0391cbfa-633c-4b1e-99f5-d64c018f1b16,GOLD,115
039997e8-9241-4965-beeb-28372e740819,IRON,38
0399f200-2bc1-41cc-a88e-fb1c43298987,BRONZE,130
039a2c96-23d5-4439-b22b-2343d43be19f,SILVER,184
03a97904-75de-4bdf-9eec-20de16bc4118,BRONZE,102
03aacce0-600b-43dd-ad0f-b94879a408c8,IRON,71
03ac6da7-64c7-4d67-931b-c5aa5ae10e11,DIAMOND,100
03ae4dd7-f46d-49d2-b0ce-70c1bd0e61ea,SILVER,181
03b0060b-8a26-48b3-a2d4-7b849817a4bc,SILVER,186
03b0d225-2d27-4dcb-a7b8-f58a8699849e,SILVER,109
03b32007-8832-4e9a-9304-d33f61158e9b,GOLD,191
03b3ad83-70c6-4174-9bdb-695b8badc6e7,BRONZE,138
03b78087-162f-493d-8781-c5efe18de1d1,SILVER,187
03b8476e-f5ed-4296-8384-8ccbfc90d204,BRONZE,153
03bac260-9d16-45e3-9a23-7511384adb8b,SILVER,185
03c24192-5df4-437b-9bb0-f520b8398da2,IRON,72
03c3b029-5be3-4ad8-9308-297513b82d9c,BRONZE,131
03c5231e-ceae-4371-8d74-4ef663efe64e,BRONZE,56
03cbc26e-e270-4f52-89be-2b490a85af00,SILVER,196
03ceb48d-8f1c-4a54-bd49-2936e39bc305,IRON,16
03d11dd6-4eae-4cf4-bb15-399f831508f1,IRON,7
03d236d7-dde6-4793-b1b8-2abf06749c2a,BRONZE,35
03dae416-7e94-44a0-80e0-1d869676d3d6,GOLD,117
03dd2fe2-39d5-458a-a7d4-5146addb5bcc,BRONZE,128
03e0ead7-7719-4e1d-ab92-8c23f3fed23c,IRON,60
03e12aad-2920-4b3b-be25-a6631a04ce4a,BRONZE,135
03e15950-f4a5-4109-a8a2-e6d09d706a7c,BRONZE,57
03e511c6-acbe-4edc-966a-afb9abf78dbb,BRONZE,59
03e562ee-392e-4551-b53b-b14834cd5d11,BRONZE,74
03e7ea22-80eb-47a6-94d6-419efef300f9,BRONZE,101
03f046f5-a135-4943-8bdd-7c54e6180eed,BRONZE,134
03ff325f-0b4b-4aa6-9919-aebd0928ad03,SILVER,172
040228df-bc30-454d-b76b-444d8d1e52f9,PLATINUM,201
04046bae-d145-4431-90f9-2c7173ce9ea4,SILVER,97
040dbfbe-5dce-4b9d-bad8-8acb2d0eaaa4,BRONZE,103
0414fafd-4b57-4d24-92ea-f8cced1f882a,BRONZE,134
041500f2-6cd0-437e-aba8-2a6b74192ea2,IRON,56
0418fe42-cee1-4fff-88de-24619f4aacdf,BRONZE,70
041910e1-a45f-415d-8425-6645e79a63cc,BRONZE,141
041f0724-9a09-4259-a2e8-2ee42ce00a4f,IRON,21
042263b2-ae31-4166-a91b-0e7f07b75cae,IRON,69
04235c64-fbe8-46bc-a397-749e140692cf,SILVER,185
